time,Temp,good_pH,bad_pH
00:00:00,18.00,7.00,7.00
00:15:00,18.00,7.00,7.00
00:30:00,18.00,7.00,7.00
00:45:00,18.00,7.00,7.00
01:00:00,18.00,7.00,7.00
01:15:00,18.00,7.00,7.00
01:30:00,18.00,7.02,7.02
01:45:00,18.00,7.04,7.04
02:00:00,18.00,7.06,7.06
02:15:00,18.00,7.08,7.08
02:30:00,18.00,7.10,7.10
02:45:00,18.00,7.12,7.12
03:00:00,18.00,7.14,7.14
03:15:00,18.00,7.16,7.16
03:30:00,18.00,7.18,7.18
03:45:00,18.00,7.20,7.20
04:00:00,18.00,7.22,7.22
04:15:00,18.00,7.24,7.24
04:30:00,18.00,7.26,7.26
04:45:00,18.00,7.28,7.28
05:00:00,18.00,7.30,7.30
05:15:00,18.00,7.32,7.32
05:30:00,18.00,7.34,7.34
05:45:00,18.00,7.36,7.36
06:00:00,18.00,7.38,7.38
06:15:00,18.00,7.40,7.40
06:30:00,18.00,7.42,7.42
06:45:00,18.00,7.44,7.44
07:00:00,18.00,7.46,7.46
07:15:00,18.00,7.48,7.48
07:30:00,18.00,7.50,7.50
07:45:00,18.00,7.52,7.52
08:00:00,18.00,7.54,7.54
08:15:00,18.25,7.56,7.56
08:30:00,18.50,7.58,7.58
08:45:00,18.75,7.60,7.60
09:00:00,19.00,7.62,7.62
09:15:00,19.25,7.64,7.64
09:30:00,19.50,7.66,7.66
09:45:00,19.75,7.68,7.68
10:00:00,20.00,7.70,7.70
10:15:00,20.25,7.72,7.72
10:30:00,20.50,7.74,7.74
10:45:00,20.75,7.76,7.76
11:00:00,21.00,7.78,7.78
11:15:00,21.25,7.80,7.80
11:30:00,21.50,7.82,7.82
11:45:00,21.75,7.84,7.84
12:00:00,22.00,7.86,7.86
12:15:00,22.25,7.88,7.88
12:30:00,22.50,7.90,7.90
12:45:00,22.75,7.92,7.92
13:00:00,23.00,7.94,7.94
13:15:00,23.25,7.96,7.96
13:30:00,23.50,7.98,7.98
13:45:00,23.75,8.00,8.00
14:00:00,24.00,8.02,8.02
14:15:00,24.25,8.04,8.04
14:30:00,24.50,8.06,8.06
14:45:00,24.75,8.08,8.08
15:00:00,25.00,8.10,8.10
15:15:00,25.25,8.12,8.12
15:30:00,25.50,8.14,8.14
15:45:00,25.75,8.16,8.16
16:00:00,26.00,8.18,8.18
16:15:00,26.00,8.20,8.20
16:30:00,26.00,8.22,8.22
16:45:00,26.00,8.24,8.24
17:00:00,26.00,8.26,8.26
17:15:00,26.00,8.28,8.28
17:30:00,26.00,8.30,8.30
17:45:00,26.00,8.32,8.32
18:00:00,26.00,8.34,8.34
18:15:00,26.00,8.36,8.36
18:30:00,26.00,8.38,8.38
18:45:00,26.00,8.40,8.40
19:00:00,26.00,8.42,8.42
19:15:00,26.00,8.44,8.44
19:30:00,25.76,8.46,8.46
19:45:00,25.52,8.48,8.48
20:00:00,25.28,8.50,8.50
20:15:00,25.04,8.52,8.52
20:30:00,24.80,8.54,8.54
20:45:00,24.56,8.56,8.56
21:00:00,24.32,8.58,8.58
21:15:00,24.08,8.60,8.60
21:30:00,23.84,8.62,8.62
21:45:00,23.60,8.64,8.64
22:00:00,23.36,8.66,8.66
22:15:00,23.12,8.68,8.68
22:30:00,22.88,8.70,8.70
22:45:00,22.64,8.72,8.72
23:00:00,22.40,8.74,8.74
23:15:00,22.16,8.76,8.76
23:30:00,21.92,8.78,8.78
23:45:00,21.68,8.80,8.80
